job_title,job_title
(2) Lead Data Scientist (Medicare) (62400BR),2
"(3) Senior Data Scientist - (Machine Learning, R, Python)",6
"(3) Senior Data Scientist - (Machine Learning, R, Python) (62398BR)",1
"(4) Senior Data Scientist - (Machine Learning, R, Python) (62398BR)",1
(Entry Level) Data Scientist,1
(Mortgage) Data Scientist,1
"(Senior) Real World Data Scientist, RWD Neuroscience",1
"(W2 Contract) Data Scientist in Dallas TX OR Bothell, WA",1
"*Cleared Data Scientist – Solutions Architect - Needed in Washington, DC!*",3
"1. Data Scientist - Python, Matlab, C++ - Northridge - $100k",2
100% REMOTE DATA SCIENTIST,1
2019 Intern Conversion: 2020 Full time Data Scientist - GEC,1
2019 Intern Conversion: 2020 Full time Data Scientist - Tech,2
2019 Summer Intern: Data Scientist,2
2019 University Graduate - Data Scientist - Policy Economics,1
2020 Citizen Data Scientist Internship,1
2020 Co-Op - CIO Data Scientist,2
2020 Intern - Data Scientist,2
"2020 Intern - Data Scientist Intern, Chief Analytics Office",1
2020 Intern - Senior Data Scientist,2
2020 Return Intern - Data Scientist,4
2020 University Intern - Data Scientist/Analytics,1
2020 University New Hire - Data Scientist/Analytics,1
278- Data Scientist/Cloud Analytics Developer,1
30817 - Data Scientist - GS-13,1
AFHC-4994 - Data Scientist,2
AI & Analytics - Data Scientist,2
"AI & Analytics Technical Delivery Lead (Data Scientist/Engineer) – Dallas, TX/New York City",5
AI & Machine Learning Data Scientist,2
AI Data Scientist,3
"AI Data Scientist - Machine Learning TS/SCI in Washington, DC",1
"AI Data Scientist - Machine Learning in Mc Lean, VA",1
"AI Data Scientist Lead in Mc Lean, VA",1
AI Data Scientist/NLP Engineer,3
"AI Implementation Leader - APaaS - Lead Data Scientist in Louisville, KY",1
AI Lab - Data Scientist - ML (PwC Labs),3
AI/Data Scientist,2
AI/ML Data Scientist,1
"AI/ML Senior Data Scientist in New york,",1
ALAM Data Scientist,1
AML Data Scientist,1
ASSOCIATE DATA SCIENTIST - AD,3
AVP - PVAI - Inhouse SB Data Scientist - CPG - US,1
AWS AI - Sr. Data Scientist,2
AWS Big Data - Data Scientist,2
AWS Big Data - Data Scientist - 125k-150k - Cincinnati,2
AWS Big Data - Data Scientist - 125k-150k - Grand Rapids,1
AWS Big Data - Data Scientist - Chicago,1
"AWS Big Data Chief Data Scientist - Detroit, Michigan - 150k",1
AWS Big Data Chief Data Scientist - Indiana - 150k,1
AWS Big Data Scientist - 12 Mo Contract - Jersey City - 90/hr,6
AWS Big Data Scientist - 8 Month Contract - Hoboken - 100/hr,1
"AWS Big Data Scientist - 9 Mo Contract - Hoboken, NJ - 100/hr",1
"AWS Big Data Scientist - AWS, Python, Spark, BI",1
"AWS Big Data Scientist - Chicago, IL - $90 - $110 per hour",23
AWS DATA SCIENTIST,1
AWS DATA SCIENTIST- COMPUTER SOFTWARE- MINNESOTA-$200K,1
AWS Data Scientist,13
"AWS Data Scientist - Burbank, CA",1
"AWS Data Scientist - Denver, CO - $115k",1
AWS Data Scientist | Irvine | Start Up,2
AWS Data Scientist | Santa Monica,1
AWS Data Scientist | Santa Monica | Start Up,1
AWS Data Scientist | Start Up Opportunity,1
"AWS Data Scientist- Charlotte, NC- $115,000",1
AWS Data Scientist- San Francisco - $150K - Team Happy Hours!,1
AWS Data Scientist- San Francisco - $150K - Weekly Catered Lunc,1
"AWS Data Scientist-Contract Role-Chicago,IL-Rate Negotiable",7
"AWS Senior Data Scientist - Boston, MA - $145-165K",1
AWS Sr. Data Scientist,2
Actuarial Customer Facing Data Scientist (Hartford),2
Actuarial Customer Facing Data Scientist (New York),1
"Actuarial Data Scientist in Irving, TX",1
"Advanced Analytics - Data Scientist in Irving, TX",1
Advanced Analytics Data Scientist - 019,2
Advanced Category Management Data Scientist,1
Agriculture Data Scientist - Agriculture Commodity Research Engine (ACRE),2
Agronomy Data Scientist,1
Alteryx- Data Analyst /Data Scientist,1
"Amazon Data Scientist Operations & Sales, Sr. Manager, Ecommerce",1
Analyst - Data Scientist,1
"Analyst, Data Scientist",2
Analytic Consultant 4 - WIM Data Scientist,3
"Analytic Developer and Data Scientist, Senior",2
Analytics Data Scientist - Machine Learning,1
"Analytics, Data Scientist in Woonsocket, RI",1
AppD Data Scientist (4318),1
"Apple Podcasts Data Scientist, Apple Media Products Data Science",1
Application Support & Deployment I (Data Scientist),1
Applied Data Scientist,13
"Applied Data Scientist (Speech, Audio & Language)",1
Applied Data Scientist I (Non-profit),2
Applied Data Scientist I (Political),2
Applied Data Scientist II,3
"Applied Data Scientist II in Philadelphia, PA",2
"Applied Data Scientist in Totowa, NJ",1
"Applied Data Scientist, ETL",1
Applied Economist / Data Scientist,1
Applied Engineering Data Scientist,4
Architect / Lead Data Scientist (InPerson Interview Required),1
Arity- Sr Data Scientist,1
Artifical Intelligence Data Scientist,1
Artificial Intelligence (AI) Associate - Data Scientist,1
Artificial Intelligence Data Scientist,5
Asset Management Data Scientist,2
Assistant Data Scientist,1
"Assistant Director - Data Scientist in San Francisco, CA",1
Assistant Project Data Scientist,1
Assistant Research Data Scientist,1
Assistant Research Data Scientist – Berkeley Institute for Data Science (BIDS),1
Assistant/Associate Specialist (Data Scientist) - Center for Effective Global Action,1
Assoc Operations Specialist / Data Scientist,1
Associate Data Scientist,82
Associate Data Scientist (BS / MS),1
Associate Data Scientist (Corporate Actuarial - Data Analytics),1
Associate Data Scientist (R1079411),1
Associate Data Scientist (Temp),1
"Associate Data Scientist - Full Time MCCS Mason, OH",3
Associate Data Scientist - INTERN - PART TIME,2
Associate Data Scientist - INTERNSHIP,1
Associate Data Scientist I,1
"Associate Data Scientist in Grand Rapids, MI",1
Associate Data Scientist – Premium Analytics,1
"Associate Data Scientist, Visa Predictive Models",1
Associate Data Scientist/Data Scientist,1
"Associate Director, Data Scientist",2
"Associate Director, Data Scientist in Kenilworth, NJ",1
"Associate Director, Real World Data Strategy & Alliances Data Scientist",3
Associate Engineer - Data Scientist (667624),2
Associate Insurance Data Scientist,2
Associate Product Data Scientist,2
"Associate, Data Scientist",13
"Associate, Data Scientist, Financial Services",7
"Associate, Data Scientist, Machine Learning",1
"Associate, Data Scientist, NLP",2
"Associate, Data Scientist, NLP, Financial Services",1
"Associate, Data Scientist, Natural Language Processing, Financial Services",10
"Azure Big Data Scientist- 130k-160k- Jacksonville, FL",1
Azure Data Scientist,2
Azure Data Scientist - Boston (MA) - $120K + Benefits,1
Azure Data Scientist - Boston (MA) - Opportunity for remote!,1
Azure Data Scientist - Boston MA,1
"Azure Data Scientist - Chicago, IL",5
"Azure Data Scientist - Chicago, IL-Perm",1
Azure Data Scientist -Boston-160K+,2
Azure Data Scientist-Boston-150K+,8
Azure Data Scientist-Boston-160K+,9
"Azure Data Scientist-Chicago,IL-Contract Role",1
Azure Data Scientist-Computer Software-$200K-Remote/Travel,1
BA Core: Sr. Data Scientist,1
BI Data Scientist,1
BI Developer & Data Scientist,1
BIG DATA SCIENTIST - AWS BIG DATA - NYC - CONTRACT - 90/hr,1
"Become a Data scientist, No Technical Background Required",1
Big Data Analyst / Data Scientist,1
Big Data Scientist,7
Big Data Scientist - AI / ML / NLP Experience Required,1
Big Data Scientist - Hiring ASAP,1
"Big Data Scientist Consultant- Atlanta, GA- Permanent- $100,000",1
Big Data Scientist(s) - Multiple Positions Available,1
Bioinformatics Data Scientist,2
Bioinformatics Data Scientist - NLP,4
Bioinformatics Data Scientist - VIE Contract (W/M),1
Bioinformatics Data Scientist / Oncology,1
Bioinformatics/Data Scientist,2
Biological Data Scientist,2
Biomedical Data Scientist,1
Bioninformatics/Genomics Data Scientist,2
Brand Analytics Data Scientist,2
"Brand Analytics Data Scientist II in Bellevue, WA",1
Building Data Scientist III,1
Business Analytics Lead/Data Scientist Lead,1
Business Banking Data Scientist,1
Business Data Scientist,1
Business Information Data Scientist,1
Business Intelligence / Business Analyst / Data Scientist / AWS Redshift,3
"Business Intelligence Data Scientist, Community Team",1
"Business Intelligence Developer and Data Scientist, Mid",1
Business Intelligence Manager/ Data Scientist,1
Business Intelligence Manager/Data Scientist,1
CCB - Quantitative Modeler / Data Scientist - Associate,1
CCB-Risk-Card Modeler/Data Scientist-Associate,1
CCB-Risk-Card Portfolio Machine Learning Data Scientist -Associate,1
CCB-Risk-Card Portfolio Machine Learning Data Scientist –Associate,2
CIB Global Investment Banking - Data Scientist - Associate,3
CIB data+design - Data Scientist - Associate,1
CIB data+design - Data Scientist Manager - Executive Director,3
CIB – Fixed Income Research – Machine Learning Data Scientist - Securitized Products – Associate/VP,1
CIMD - Marcus by Goldman Sachs - Data Scientist,2
CIMD - Marcus by Goldman Sachs - Decision and Data Scientist,1
COMPUTER ENGINEER (DATA SYSTEMS) (DATA SCIENTIST),1
CWMD Data Scientist,1
Campus: Data Scientist (2019 Start),1
Candidate Identified: Senior Data Scientist - Technology,1
Capital Data Scientist,1
Celonis Data Scientist,1
"Center of Excellence (COE) Data Scientist, Strategic Procurement",6
Cheminformatics/Data Scientist - Discovery Chemistry,2
Chemometrician/Chemical Data Scientist,7
Chief Data Scientist,30
Chief Data Scientist - Consumer Lending,5
"Chief Data Scientist - Federal $160,000 - 220,000",1
Chief Data Scientist - Upstream Digital,1
Chief Data Scientist AI,1
"Chief Data Scientist- Raleigh, NC!",1
Chief Data Scientist- SAS Partner!,1
Chief Data Scientist/ Autonomous Systems/ Druid/ Sunnyvale,1
